frame_id,class_id,track_id,coordinate_world_x,coordinate_world_y
23,cyclist,9,678148.4506163364,5405309.4143586615
23,car,10,678161.9496847332,5405346.380676821
23,car,11,678199.244893831,5405318.922417083
23,truck,12,678190.4040895051,5405324.404501143
23,car,13,678198.0619757891,5405322.162380731
23,car-transporter,14,678173.7362811312,5405331.326489233
23,car,15,678154.6321711248,5405331.89373102
24,car,1,678194.4672006874,5405316.78696655
24,car,2,678161.9488621831,5405327.629032277
24,car,3,678148.0129593227,5405287.657959739
24,car,4,678148.7355633338,5405284.218244007
24,car,5,678192.248768887,5405320.096043369
24,car,6,678160.648292605,5405336.325512685
24,car,7,678158.6546702785,5405326.199224489
24,car,8,678164.9107798696,5405350.070441521
24,cyclist,9,678148.5490677827,5405309.426110122
24,car,10,678161.9220158097,5405346.332141555
24,car,11,678199.244893831,5405318.922417083
24,truck,12,678192.1537531336,5405325.313839829
24,car,13,678198.0619757891,5405322.162380731
24,car-transporter,14,678173.2990473855,5405331.534503147
24,car,15,678154.6868706484,5405331.645902018
25,car,1,678194.4672006874,5405316.78696655
25,car,2,678161.9488621831,5405327.629032277
25,car,3,678148.0129593227,5405287.657959739
25,car,4,678148.7468828852,5405284.215856344
25,car,5,678192.248768887,5405320.096043369
25,car,6,678160.648292605,5405336.325512685
25,car,7,678158.6546702785,5405326.199224489
25,car,8,678164.9071205775,5405350.32680236
25,cyclist,9,678148.5431103121,5405309.441623386
25,car,10,678161.9220158097,5405346.332141555
25,car,11,678199.244893831,5405318.922417083
25,truck,12,678191.0297367421,5405328.225019754
25,car,13,678198.0619757891,5405322.162380731
25,car-transporter,14,678173.2990473855,5405331.534503147
25,car,15,678154.7007491345,5405331.4804501105
26,car,1,678194.4672006874,5405316.78696655
26,car,2,678161.9488621831,5405327.629032277
26,car,3,678148.0129593227,5405287.657959739
26,car,4,678148.7468828852,5405284.215856344
26,car,5,678192.248768887,5405320.096043369
26,car,6,678160.6733234284,5405336.374474576
26,car,7,678158.6546702785,5405326.199224489
26,car,8,678165.9577677167,5405353.411430046
26,cyclist,9,678148.6160551292,5405309.444116445
26,car,10,678161.9220158097,5405346.332141555
26,car,11,678199.244893831,5405318.922417083
26,truck,12,678191.4525228038,5405327.9396813605
26,car,13,678198.0619757891,5405322.162380731
26,car-transporter,14,678173.1983499397,5405331.754168857
26,car,15,678154.7071767809,5405331.317918638
27,car,1,678194.4672006874,5405316.78696655
27,car,2,678161.9488621831,5405327.629032277
27,car,3,678148.0129593227,5405287.657959739
27,car,4,678148.7468828852,5405284.215856344
27,car,5,678192.248768887,5405320.096043369
27,car,6,678160.6733234284,5405336.374474576
27,car,7,678158.6546702785,5405326.199224489
27,car,8,678165.9577677167,5405353.411430046
27,cyclist,9,678148.6665581486,5405309.461051164
27,car,10,678161.9220158097,5405346.332141555
27,car,11,678199.244893831,5405318.922417083
27,truck,12,678192.1537531336,5405325.313839829
27,car,13,678198.0619757891,5405322.162380731
27,car-transporter,14,678173.1983499397,5405331.754168857
27,car,15,678154.7247661536,5405331.128077593
28,car,1,678194.4672006874,5405316.78696655
28,car,2,678161.9488621831,5405327.629032277
28,car,3,678148.0129593227,5405287.657959739
28,car,4,678148.7468828852,5405284.215856344
28,car,5,678192.248768887,5405320.096043369
28,car,6,678160.648292605,5405336.325512685
28,car,7,678158.6546702785,5405326.199224489
28,cyclist,9,678148.7247803868,5405309.443319618
28,car,10,678161.9220158097,5405346.332141555
28,car,11,678199.244893831,5405318.922417083
28,truck,12,678192.1235316102,5405325.385131616
28,car,13,678198.0619757891,5405322.162380731
28,car,15,678154.7618198917,5405330.986792559
29,car,1,678194.4672006874,5405316.78696655
29,car,2,678161.9488621831,5405327.629032277
29,car,3,678148.0129593227,5405287.657959739
29,car,4,678148.7468828852,5405284.215856344
29,car,5,678192.248768887,5405320.096043369
29,car,6,678160.6733234284,5405336.374474576
29,car,7,678158.6546702785,5405326.199224489
29,cyclist,9,678148.8069899972,5405309.481549539
29,car,10,678161.9220158097,5405346.332141555
29,car,11,678199.244893831,5405318.922417083
29,truck,12,678192.5878331494,5405328.548305217
29,car,13,678198.0619757891,5405322.162380731
29,car,15,678154.7851365865,5405330.720877837
30,car,1,678194.4672006874,5405316.78696655
30,car,2,678161.9488621831,5405327.629032277
30,car,3,678148.0129593227,5405287.657959739
30,car,4,678148.7468828852,5405284.215856344
30,car,5,678192.248768887,5405320.096043369
30,car,6,678160.6733234284,5405336.374474576
30,car,7,678158.6546702785,5405326.199224489
30,cyclist,9,678148.8062942119,5405309.530192103
30,car,10,678161.8872464262,5405346.271151062
30,car,11,678199.244893831,5405318.922417083
30,truck,12,678192.1235316102,5405325.385131616
30,car,13,678198.0619757891,5405322.162380731
30,car,15,678154.8183605897,5405330.517493422
31,car,1,678194.4672006874,5405316.78696655
31,car,2,678161.9247899865,5405327.585597947
31,car,3,678148.0129593227,5405287.657959739
31,car,4,678148.7468828852,5405284.215856344
31,car,5,678192.248768887,5405320.096043369
31,car,6,678160.6733234284,5405336.374474576
31,car,7,678158.6647960392,5405326.177537175
31,cyclist,9,678148.8373708737,5405309.522736164
31,car,10,678161.8595775027,5405346.222615797
31,car,11,678199.244893831,5405318.922417083
31,truck,12,678191.3949258326,5405327.335286319
31,car,13,678198.0717148115,5405322.138571218
31,car,15,678154.8349001666,5405330.2511374485
32,car,1,678194.4672006874,5405316.78696655
32,car,2,678161.9247899865,5405327.585597947
32,car,3,678148.0129593227,5405287.657959739
32,car,4,678148.7468828852,5405284.215856344
32,car,5,678192.248768887,5405320.096043369
32,car,6,678160.6733234284,5405336.374474576
32,car,7,678158.6647960392,5405326.177537175
32,cyclist,9,678148.8839415985,5405309.536250355
32,car,10,678161.831967959,5405346.174184691
32,car,11,678199.244893831,5405318.922417083
32,truck,12,678191.2020499755,5405327.882101785
32,car,13,678198.0619757891,5405322.162380731
32,car,15,678154.8549786257,5405329.91742353
33,car,1,678194.4672006874,5405316.78696655
33,car,2,678161.9247899865,5405327.585597947
33,car,3,678148.0129593227,5405287.657959739
33,car,4,678148.7468828852,5405284.215856344
33,car,5,678192.248768887,5405320.096043369
33,car,6,678160.6941992173,5405336.332749341
33,car,7,678158.6647960392,5405326.177537175
33,cyclist,9,678148.9713270741,5405309.579057507
33,car,10,678161.8631514714,5405346.228885051
33,car,11,678199.244893831,5405318.922417083
33,truck,12,678191.2020499755,5405327.882101785
33,car,13,678198.0717148115,5405322.138571218
33,car,15,678154.9373071034,5405329.750630693
34,car,1,678194.4672006874,5405316.78696655
34,car,2,678161.9488621831,5405327.629032277
34,car,3,678148.0129593227,5405287.657959739
34,car,4,678148.7468828852,5405284.215856344
34,car,5,678192.248768887,5405320.096043369
34,car,6,678160.6941992173,5405336.332749341
34,car,7,678158.6647960392,5405326.177537175
34,cyclist,9,678149.0497769389,5405309.585843384
34,car,10,678161.8631514714,5405346.228885051
34,car,11,678199.244893831,5405318.922417083
34,truck,12,678191.1816984332,5405327.930157175
34,car,13,678198.0717148115,5405322.138571218
34,car,15,678154.9470086922,5405329.439926418
35,car,1,678194.4672006874,5405316.78696655
35,car,2,678161.9488621831,5405327.629032277
35,car,3,678148.0129593227,5405287.657959739
35,car,4,678148.7468828852,5405284.215856344
35,car,5,678192.248768887,5405320.096043369
35,car,6,678160.6662755817,5405336.297990773
35,car,7,678158.6546702785,5405326.199224489
35,cyclist,9,678149.0864399543,5405309.611556035
35,car,10,678161.8631514714,5405346.228885051
35,car,11,678199.244893831,5405318.922417083
35,truck,12,678191.8741098272,5405328.581916995
35,car,13,678198.0717148115,5405322.138571218
35,car,15,678155.000126685,5405329.112741696
36,car,1,678194.4672006874,5405316.78696655
36,car,2,678161.9488621831,5405327.629032277
36,car,3,678148.0129593227,5405287.657959739
36,car,4,678148.7355633338,5405284.218244007
36,car,5,678192.248768887,5405320.096043369
36,car,6,678160.6662755817,5405336.297990773
36,car,7,678158.6647960392,5405326.177537175
36,cyclist,9,678149.111760475,5405309.619833477
36,car,10,678161.8631514714,5405346.228885051
36,car,11,678199.244893831,5405318.922417083
36,truck,12,678191.8843259906,5405328.557627522
36,car,13,678198.0619757891,5405322.162380731
36,car,15,678155.037479761,5405328.886892943
37,car,1,678194.4672006874,5405316.78696655
37,car,2,678161.9488621831,5405327.629032277
37,car,3,678148.0129593227,5405287.657959739
37,car,4,678148.7468828852,5405284.215856344
37,car,5,678192.248768887,5405320.096043369
37,car,6,678160.6454071277,5405336.339684155
37,car,7,678158.6546702785,5405326.199224489
37,cyclist,9,678149.1435313026,5405309.6130464645
37,car,10,678161.831967959,5405346.174184691
37,car,11,678199.244893831,5405318.922417083
37,truck,12,678190.3743700263,5405324.473553428
37,car,13,678198.0619757891,5405322.162380731
37,car,15,678155.0862907879,5405328.58300123
38,car,1,678194.4672006874,5405316.78696655
38,car,2,678161.9488621831,5405327.629032277
38,car,3,678148.0129593227,5405287.657959739
38,car,4,678148.7468828852,5405284.215856344
38,car,5,678192.248768887,5405320.096043369
38,car,6,678160.6454071277,5405336.339684155
38,car,7,678158.6402548308,5405326.151766812
38,cyclist,9,678149.2111450281,5405309.680359428
38,car,10,678161.8595775027,5405346.222615797
38,car,11,678199.244893831,5405318.922417083
38,truck,12,678190.3642151337,5405324.497148006
38,car,13,678198.0619757891,5405322.162380731
38,car,15,678155.0933943724,5405328.208651895
39,car,1,678194.4672006874,5405316.78696655
39,car,2,678161.9488621831,5405327.629032277
39,car,3,678148.0129593227,5405287.657959739
39,car,4,678148.7468828852,5405284.215856344
39,car,5,678192.248768887,5405320.096043369
39,car,6,678160.6454071277,5405336.339684155
39,car,7,678158.6647960392,5405326.177537175
39,cyclist,9,678149.2425099121,5405309.672888408
39,car,10,678161.8595775027,5405346.222615797
39,car,11,678199.244893831,5405318.922417083
39,truck,12,678190.0472742147,5405324.31996902
39,car,13,678198.0619757891,5405322.162380731
39,car,15,678155.1385566157,5405327.973770646
40,car,1,678194.4672006874,5405316.78696655
40,car,2,678161.9488621831,5405327.629032277
40,car,3,678148.0129593227,5405287.657959739
40,car,4,678148.7468828852,5405284.215856344
40,car,5,678192.248768887,5405320.096043369
40,car,6,678160.6454071277,5405336.339684155
40,car,7,678158.6892630688,5405326.203579022
40,cyclist,9,678149.2948569199,5405309.6418089755
40,car,10,678161.8595775027,5405346.222615797
40,car,11,678199.244893831,5405318.922417083
40,truck,12,678189.9521112677,5405324.2379794475
40,car,13,678198.0619757891,5405322.162380731
40,car,15,678155.1473832116,5405327.592062235
41,car,1,678194.4672006874,5405316.78696655
41,car,2,678161.9384950241,5405327.651158454
41,car,3,678148.0129593227,5405287.657959739
41,car,4,678148.7468828852,5405284.215856344
41,car,5,678192.248768887,5405320.096043369
41,car,6,678160.6454071277,5405336.339684155
41,car,7,678158.6647960392,5405326.177537175
41,cyclist,9,678149.3377847343,5405309.651930001
41,car,10,678161.8595775027,5405346.222615797
41,car,11,678199.244893831,5405318.922417083
41,truck,12,678189.8571713115,5405324.156182275
41,car,13,678198.0619757891,5405322.162380731
41,car,15,678155.2212007963,5405327.382415071
42,car,1,678194.4672006874,5405316.78696655
42,car,2,678161.9384950241,5405327.651158454
42,car,3,678148.0129593227,5405287.657959739
42,car,4,678148.7468828852,5405284.215856344
42,car,5,678192.248768887,5405320.096043369
42,car,6,678160.6454071277,5405336.339684155
42,car,7,678158.6402548308,5405326.151766812
42,cyclist,9,678149.400258455,5405309.686073264
42,car,10,678161.831967959,5405346.174184691
42,car,11,678199.244893831,5405318.922417083
42,truck,12,678189.553437511,5405323.9586312305
42,car,13,678198.0619757891,5405322.162380731
42,car,15,678155.2552147802,5405327.096011676
43,car,1,678194.4672006874,5405316.78696655
43,car,2,678161.9384950241,5405327.651158454
43,car,3,678148.0129593227,5405287.657959739
43,car,4,678148.7468828852,5405284.215856344
43,car,5,678192.248768887,5405320.096043369
43,car,6,678160.6454071277,5405336.339684155
43,car,7,678158.6619629639,5405326.193364179
43,cyclist,9,678149.4105034882,5405309.673919419
43,car,10,678161.831967959,5405346.174184691
43,car,11,678199.244893831,5405318.922417083
43,truck,12,678191.5515252121,5405326.230592994
43,car,13,678198.0619757891,5405322.162380731
43,car,15,678155.307183665,5405326.780150609
44,car,1,678194.4672006874,5405316.78696655
44,car,2,678161.9384950241,5405327.651158454
44,car,3,678148.0129593227,5405287.657959739
44,car,4,678148.7468828852,5405284.215856344
44,car,5,678192.248768887,5405320.096043369
44,car,6,678160.6454071277,5405336.339684155
44,car,7,678158.6301130833,5405326.173389234
44,cyclist,9,678149.4634070855,5405309.72103579
44,car,10,678161.8008554849,5405346.119608943
44,car,11,678199.244893831,5405318.922417083
44,truck,12,678191.4951587229,5405326.212491557
44,car,13,678198.0619757891,5405322.162380731
44,car,15,678155.2994921503,5405326.5044571925
45,car,1,678194.4672006874,5405316.78696655
45,car,2,678161.9384950241,5405327.651158454
45,car,3,678148.0129593227,5405287.657959739
45,car,4,678148.7468828852,5405284.215856344
45,car,5,678192.248768887,5405320.096043369
45,car,6,678160.6553138462,5405336.3218025435
45,car,7,678158.6892630688,5405326.203579022
45,cyclist,9,678149.5210167859,5405309.722571823
45,car,10,678161.8008554849,5405346.119608943
45,car,11,678199.244893831,5405318.922417083
45,truck,12,678191.4302474216,5405326.192091027
45,car,13,678198.0619757891,5405322.162380731
45,car,15,678155.3693887325,5405326.234134037
46,car,1,678194.4148984045,5405316.749484114
46,car,2,678161.9384950241,5405327.651158454
46,car,3,678148.0129593227,5405287.657959739
46,car,4,678148.7468828852,5405284.215856344
46,car,5,678192.248768887,5405320.096043369
46,car,6,678160.6553138462,5405336.3218025435
46,car,7,678158.6647960392,5405326.177537175
46,cyclist,9,678149.595886149,5405309.72526277
46,car,10,678161.8008554849,5405346.119608943
46,car,11,678199.244893831,5405318.922417083
46,truck,12,678191.4900766243,5405326.235890105
46,car,13,678198.0619757891,5405322.162380731
46,car,15,678155.4028954334,5405325.95203805
47,car,1,678194.4672006874,5405316.78696655
47,car,2,678161.9488621831,5405327.629032277
47,car,3,678148.0129593227,5405287.657959739
47,car,4,678148.7468828852,5405284.215856344
47,car,5,678192.248768887,5405320.096043369
47,car,6,678160.6553138462,5405336.3218025435
